Datetime,ZoneMeanAirTemperature 1,ZoneMeanAirTemperature 2,ZoneMeanAirTemperature 3,ZoneMeanAirTemperature 4,ZoneMeanAirTemperature 5,Environment,HeatInput 1,HeatInput 2,HeatInput 3,HeatInput 4,HeatInput 5,Total Solar Radiation
02-Jun-2021 02:15:00,25.1513790458963,22.7079223596375,22.6601576197321,21.7943191105002,23.2619866148807,12.55,0,0,0,0,0,0
02-Jun-2021 02:30:00,25.0972543057364,22.6716897547055,22.6357137143697,21.7613497686915,23.2221110074136,12.6,0,0,0,0,0,0
02-Jun-2021 02:45:00,25.0448466165915,22.6369991367274,22.6114509647608,21.7298502781611,23.1839735074243,12.65,0,0,0,0,0,0
02-Jun-2021 03:00:00,24.9936477136361,22.6033467372056,22.5872796000967,21.6993451638235,23.1469861738894,12.7,0,0,0,0,0,0
02-Jun-2021 03:15:00,24.9433725138896,22.5704513523998,22.5631577785299,21.6695700839223,23.1108213761541,13.05,0,0,0,0,0,1.38888888888889
02-Jun-2021 03:30:00,24.9020630872635,22.5454192339674,22.5407585676339,21.6470717510099,23.0839932175126,13.4,0,0,0,0,0,2.77777777777778
02-Jun-2021 03:45:00,24.8638651129415,22.5227358823395,22.518786419635,21.6268284344085,23.0597322161017,13.75,0,0,0,0,0,4.16666666666667
02-Jun-2021 04:00:00,24.8280003679775,22.501792037094,22.497149965622,21.6082638988422,23.0373356728452,14.1,0,0,0,0,0,5.55555555555556
02-Jun-2021 04:15:00,24.7939868569582,22.4822132492722,22.475805188978,21.5910208224007,23.0163840053346,14.4,0,0,0,0,0,18.75
02-Jun-2021 04:30:00,24.7813860151241,22.4756503249991,22.4573767859124,21.5853827544498,23.0102188746188,14.7,0,0,0,0,0,31.9444444444444
02-Jun-2021 04:45:00,24.7824560207921,22.4772753065466,22.4408253884379,21.587545277405,23.0130873729986,15,0,0,0,0,0,45.1388888888889
02-Jun-2021 05:00:00,24.7936968047722,22.4850379394299,22.4258410589459,21.5955919512577,23.0225360188158,15.3,0,0,0,0,0,58.3333333333333
